item_id,title,Action,Adventure,Animation,Childrens,Comedy,Crime,Documentary,Drama,Fantasy,FilmNoir,Horror,Musical,Mystery,Romance,SciFi,Thriller,War,Western
242,Kolya (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
302,L.A. Confidential (1997),0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
51,Legends of the Fall (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
346,Jackie Brown (1997),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
265,"Hunt for Red October, The (1990)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
465,"Jungle Book, The (1994)",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
451,Grease (1978),0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
86,"Remains of the Day, The (1993)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
257,Men in Black (1997),1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1014,Romy and Michele's High School Reunion (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Star Trek: First Contact (1996),1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
785,Only You (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
387,"Age of Innocence, The (1993)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
274,Sabrina (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1042,Just Cause (1995),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
392,"Man Without a Face, The (1993)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
486,Sabrina (1954),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
144,Die Hard (1988),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
118,Twister (1996),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,Toy Story (1995),0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
546,Broken Arrow (1996),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
95,Aladdin (1992),0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
768,Casper (1995),0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Restoration (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
234,Jaws (1975),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
246,Chasing Amy (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
98,"Silence of the Lambs, The (1991)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
193,"Right Stuff, The (1983)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
88,Sleepless in Seattle (1993),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
194,"Sting, The (1973)",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
603,Rear Window (1954),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
796,Speechless (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
32,Crumb (1994),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,French Twist (Gazon maudit) (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
304,Fly Away Home (1996),0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
979,"Trigger Effect, The (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
327,Cop Land (1997),0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
201,Evil Dead II (1987),1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1137,Beautiful Thing (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
241,"Last of the Mohicans, The (1992)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4,Get Shorty (1995),1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
